timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
100932814,100932663,0.17360023,-0.08961643,0.015815949,0.9893932,0.0,0.0,0.0,-1.0
100936774,100936654,0.15466982,-0.111081675,-0.0057135643,0.9893932,0.0,0.0,0.0,-1.0
100940808,100940704,0.17132385,-0.08819897,0.024483658,0.9893932,0.0,0.0,0.0,-1.0
100943158,100943056,0.14610362,-0.09883952,0.008495683,0.9893932,0.0,0.0,0.0,-1.0
100947168,100947057,0.17534168,-0.09785745,0.0607519,0.996805,0.0,0.0,0.0,-1.0
100950371,100950254,0.15781817,-0.0913222,0.03546802,0.996805,0.0,0.0,0.0,-1.0
100953622,100953462,0.15105157,-0.12320682,0.038306184,0.996805,0.0,0.0,0.0,-1.0
100957576,100957454,0.16837583,-0.07896021,0.040313523,0.996805,0.0,0.0,0.0,-1.0
100960756,100960654,0.14825141,-0.12295045,0.025809368,0.996805,0.0,0.0,0.0,-1.0
100964770,100964655,0.17013909,-0.0860985,0.021158889,0.996805,0.0,0.0,0.0,-1.0
100967156,100967054,0.14216192,-0.09439756,0.018365074,0.996805,0.0,0.0,0.0,-1.0
100971159,100971055,0.16591255,-0.10951408,0.03849053,1.0,0.0,0.0,0.0,-1.0
100975246,100975130,0.13917494,-0.092852265,0.025226139,1.0,0.0,0.0,0.0,-1.0
100979166,100979064,0.17107819,-0.116470605,0.046063986,1.0,0.0,0.0,0.0,-1.0
100983166,100983058,0.13193662,-0.07302941,0.028017111,1.0,0.0,0.0,0.0,-1.0
100985572,100985454,0.14303267,-0.13398825,0.06300234,1.0,0.0,0.0,0.0,-1.0
100988776,100988660,0.17487453,-0.09421636,0.025558675,1.0,0.0,0.0,0.0,-1.0
100992812,100992710,0.151623,-0.11395332,0.056364268,1.0,0.0,0.0,0.0,-1.0
100995173,100995070,0.16942571,-0.12846003,0.059821066,1.0,0.0,0.0,0.0,-1.0
100998374,100998256,0.15343632,-0.047077507,0.016294343,1.0,0.0,0.0,0.0,-1.0
101004757,101004655,0.1822716,-0.106850475,0.022386974,1.0,0.0,0.0,0.0,-1.0
101006382,101006254,0.16873549,-0.05223309,-0.0035251125,1.0,0.0,0.0,0.0,-1.0
101010394,101010283,0.15750682,-0.09736207,0.09295931,1.0,0.0,0.0,0.0,-1.0
101013710,101013531,0.17898962,-0.091636755,-0.01090165,1.0,0.0,0.0,0.0,-1.0
101016770,101016660,0.15974502,-0.047004964,0.020009542,1.0,0.0,0.0,0.0,-1.0
101020775,101020662,0.17317972,-0.09338802,0.047268216,1.0,0.0,0.0,0.0,-1.0
101024015,101023913,0.16940887,-0.06226947,-0.009511244,1.0,0.0,0.0,0.0,-1.0
101028775,101028673,0.15383421,-0.074563,0.072124995,1.0,0.0,0.0,0.0,-1.0
101030440,101030263,0.16252805,-0.081001826,-0.0073929857,1.0,0.0,0.0,0.0,-1.0
101034453,101034329,0.17001301,-0.054320507,0.08687313,0.9999425,0.0,0.0,0.0,-1.0
101037563,101037454,0.15346171,-0.069703795,0.06815365,0.9999425,0.0,0.0,0.0,-1.0
101041564,101041462,0.1576032,-0.06448187,0.04505869,0.9999425,0.0,0.0,0.0,-1.0
101044897,101044748,0.17016208,-0.054638796,0.094757006,0.9999425,0.0,0.0,0.0,-1.0
101048796,101048683,0.14326248,-0.09206106,0.0005427423,0.999936,0.0,0.0,0.0,-1.0
101053560,101053456,0.1674133,-0.054716844,0.052225754,0.999936,0.0,0.0,0.0,-1.0
101054454,101054266,0.15877272,-0.0698581,0.02324973,0.999936,0.0,0.0,0.0,-1.0
101058384,101058262,0.15848912,-0.085404284,0.021222442,0.999936,0.0,0.0,0.0,-1.0
