timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
95396569,95396569,8,41,0,0,20003,1536,1515,1116,1482,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
95612173,95612173,8,41,0,0,20003,1515,1505,1116,1459,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
95804400,95804400,8,41,0,0,20003,1508,1492,1321,1499,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
96016048,96016048,8,41,0,0,20003,1504,1453,1612,1461,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
96205663,96205663,8,41,0,0,20004,1509,1452,1669,1469,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
96420608,96420608,8,41,0,0,20003,1507,1472,1709,1487,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
96612100,96612100,8,41,0,0,20004,1514,1493,1740,1501,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
96806997,96806997,8,41,0,0,20004,1548,1515,1746,1511,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
97018912,97018912,8,41,0,0,20004,1577,1516,1763,1511,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
97218126,97218126,8,41,0,0,20004,1559,1514,1705,1456,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
97411837,97411837,8,41,0,0,20004,1503,1467,1228,1278,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
97627010,97627010,8,41,0,0,20003,1512,1471,1116,1331,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
97820962,97820962,8,41,0,0,20003,1507,1476,1129,1361,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
98036059,98036059,8,41,0,0,20003,1505,1478,1415,1396,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
98227300,98227300,8,41,0,0,20003,1504,1481,1631,1423,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
98438908,98438908,8,41,0,0,20004,1509,1480,1704,1448,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
98633195,98633195,8,41,0,0,20003,1525,1488,1742,1466,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
98840834,98840834,8,41,0,0,20004,1544,1502,1750,1490,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
99030966,99030966,8,41,0,0,20003,1536,1506,1744,1476,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
99244900,99244900,8,41,0,0,20003,1541,1506,1669,1447,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
99456192,99456192,8,41,0,0,20004,1543,1504,1268,1381,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
99646486,99646486,8,41,0,0,20003,1548,1510,1116,1348,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
99860599,99860599,8,41,0,0,20004,1544,1512,1160,1347,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
100052404,100052404,8,41,0,0,20003,1542,1514,1314,1362,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
100250606,100250606,8,41,0,0,20004,1540,1513,1527,1420,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
100466801,100466801,8,41,0,0,20004,1538,1514,1824,1446,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
100660072,100660072,8,41,0,0,20003,1538,1514,1840,1462,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
100872469,100872469,8,41,0,0,20003,1533,1513,1845,1457,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
101062561,101062561,8,41,0,0,20003,1509,1491,1839,1451,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
101276859,101276859,8,41,0,0,20003,1515,1489,1826,1456,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
101468090,101468090,8,41,0,0,20004,1527,1484,1532,1472,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
101666795,101666795,8,41,0,0,20004,1530,1490,1142,1456,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
101882073,101882073,8,41,0,0,20004,1525,1493,1116,1409,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
102072579,102072579,8,41,0,0,20003,1525,1493,1116,1407,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
