timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
128026887,0.99338686,0.10359702,0.016573552,0.04664244,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128031654,0.99253064,0.11112294,0.017855711,0.047074176,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128035662,0.99169636,0.11802164,0.018785879,0.047501564,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128039656,0.9908559,0.12459498,0.019748855,0.0478623,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128043670,0.9899456,0.1313335,0.020771805,0.04824769,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128047660,0.98892385,0.13858381,0.02151833,0.048592404,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128051654,0.9879417,0.14516997,0.02227923,0.048996456,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128055658,0.9868907,0.15189777,0.023220968,0.049343374,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128059654,0.9857109,0.1592105,0.023687337,0.049647175,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128063690,0.9846201,0.1655953,0.024428267,0.0500488,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128067654,0.98344487,0.17226532,0.025038535,0.050338242,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128071654,0.98221505,0.17900573,0.025335064,0.050681815,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128075713,0.98104024,0.1851481,0.025987087,0.051039267,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128079661,0.9798168,0.19137652,0.02648934,0.051307365,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128083670,0.9785904,0.19744287,0.026654609,0.051638853,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128087654,0.977418,0.20302013,0.02717479,0.051947013,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128091654,0.9762051,0.20865975,0.027635884,0.052164894,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128095663,0.9750356,0.21397105,0.027790038,0.052437015,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128099665,0.9738651,0.21911164,0.028242866,0.052719336,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128103668,0.97271866,0.22404204,0.028629325,0.052952483,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128107654,0.9716196,0.2286992,0.028763467,0.05314921,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128111654,0.9704676,0.23341186,0.02932824,0.053398967,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
